#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
34000,-693965.7458631909,138714.4002229369,-555251.345640254,296.5324302931262,584.504643423134,101
34500,-695062.6979516884,138647.6935582084,-556415.00439348,296.3898301782362,583.2198958123694,99.9
35000,-696553.858951299,140014.52538894367,-556539.3335623553,299.311732763105,581.7527286889784,97.5
35500,-695261.5278537255,139287.1230121388,-555974.4048415867,297.7567507695392,580.0210562018102,97.5
36000,-695541.4907064675,138881.30844890582,-556660.1822575617,296.88923320474123,579.6019993691157,97.5
36500,-693702.4719403335,138782.71626026463,-554919.7556800689,296.67847079464747,579.6820868149285,97.4
37000,-694296.4749728176,139259.9622459361,-555036.5127268815,297.6986886793903,578.7566864501933,97.2
37500,-694430.4080524673,139071.76795353967,-555358.6400989275,297.2963821358597,578.4208849441414,97.2
38000,-694331.5456420993,139723.31466042565,-554608.2309816737,298.6892060108998,577.9005763978906,97.2
38500,-695727.6693563159,139115.54112559784,-556612.128230718,297.3899568842,576.809475098044,97
39000,-694934.8913237597,138985.57221369667,-555949.319110063,297.11211985180347,575.4411350120512,97
39500,-696026.9802347296,139299.74245111534,-556727.2377836143,297.78372758595225,574.5920312495922,97.1
40000,-695727.9656699765,138349.81331555714,-557378.1523544195,295.7530458779204,574.3288822395125,95.5
40500,-695822.3813362382,139269.5415847773,-556552.8397514609,297.7191666155138,573.5092367782363,94.6
41000,-696242.8633071054,139320.5411997625,-556922.3221073429,297.8281894693146,573.2853522924528,94.4
41500,-696604.1856337409,139455.8827939427,-557148.3028397982,298.1175117875274,572.1817134203692,94.3
42000,-695820.7577427425,139315.60686566372,-556505.1508770788,297.8176412487994,571.8701710738053,94.1
42500,-696025.7518234393,140309.17197023786,-555716.5798532014,299.94160440360025,571.3456024198971,94.1
43000,-695529.3465507845,140143.2289437456,-555386.1176070389,299.58686481739386,569.7608757430875,94.1
43500,-694202.4661687738,139803.816702245,-554398.6494665288,298.8612967676337,568.961056909153,94.1
44000,-694938.9346761527,138599.08139376057,-556339.853282392,296.2859110231783,567.6671842329388,93.9
44500,-696234.8477849173,138730.42368814195,-557504.4240967754,296.5666839616086,566.7191950352874,94
45000,-697190.4648551187,140486.633114113,-556703.8317410056,300.32096648995406,566.2227393692085,93.5
45500,-697202.3845716622,139883.3719013074,-557319.0126703548,299.0313634404702,565.021768298117,93.5
46000,-697627.3207114614,140020.02950027504,-557607.2912111863,299.32349900732385,564.1523300180095,93.5
46500,-696235.4079448953,138818.96584266238,-557416.442102233,296.7559622212639,564.1761339866358,93.6
47000,-697781.1209366163,139853.19829256274,-557927.9226440536,298.9668607391112,563.5241657951331,93.6
47500,-697465.4352009632,139797.21895191487,-557668.2162490482,298.8471926303796,563.259562799977,93.6
48000,-696922.2927204706,139090.3923961757,-557831.9003242948,297.33619596361535,562.3343025118528,93.7
48500,-696862.5618470297,139973.75367502787,-556888.8081720019,299.2245742893255,561.3524733614577,93.7
49000,-696965.8024965925,139392.13246739894,-557573.6700291936,297.9812314934007,560.0176833347272,93.6
49500,-697500.0120788151,139598.61135775177,-557901.4007210634,298.4226253722059,559.2679658266518,93.5
50000,-696714.3853411064,139344.7536044718,-557369.6317366346,297.87994879062626,558.676003599408,93.1
