#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
32500,-694498.5408606152,144018.5869313645,-550479.9539292507,307.87129181615967,540.9828664945005,90.1
33000,-694879.9841621751,145896.08641422994,-548983.8977479452,311.88485842231887,541.7648483522465,90.2
33500,-694425.1327342801,145483.9420813311,-548941.190652949,311.0038095876657,540.7017089273788,90.3
34000,-694034.3036603248,144668.5715718877,-549365.7320884371,309.2607764320163,540.9475289308502,90.4
34500,-693553.1442446713,144519.0422264362,-549034.1020182351,308.94112468615856,539.7614569296268,90.5
35000,-694218.5173267415,145494.30883586546,-548724.208490876,311.0259707973987,540.8179882828597,89.7
35500,-692670.5199941844,145105.23345538077,-547565.2865388036,310.19423690418415,540.6161162925293,89.8
36000,-693924.198387214,145523.15487070155,-548401.0435165125,311.08763551858493,541.2980530725786,89.9
36500,-693631.0344036543,144646.2710347796,-548984.7633688747,309.21310414669574,540.580610473972,90
37000,-693363.8816721998,145217.8905279088,-548145.991144291,310.43506608596164,540.8698223635212,90.1
37500,-693045.8753776788,144519.35243144844,-548526.5229462304,308.9417878173549,541.8806918778365,90.2
38000,-693718.1277819839,144907.35146311414,-548810.7763188698,309.77122077908274,542.0153221977927,90.3
38500,-693411.3992981645,145850.836225803,-547560.5630723615,311.7881262277962,542.1812039190465,90.3
39000,-693521.7623700462,145541.53164458982,-547980.2307254564,311.1269199001148,541.6936217077623,90.4
39500,-693300.12046305,145450.92328908935,-547849.1971739606,310.93322468304837,542.1850987336612,90.5
40000,-692607.060437223,145475.26625330705,-547131.794183916,310.98526310392185,542.2945333554817,90.3
40500,-692987.8567797728,145344.81695501442,-547643.0398247584,310.70639914033495,541.5461046731259,90.4
41000,-693104.0107234642,146022.7796898496,-547081.2310336146,312.15569306429484,541.4916768301904,90.4
41500,-693521.47910826,144848.04084325093,-548673.4382650091,309.6444313309651,542.1366598127972,90.5
42000,-693197.976147125,145602.538550026,-547595.437597099,311.2573355303923,541.9008270020051,90.6
42500,-694492.4476101128,145112.3239006542,-549380.1237094586,310.2093942848556,540.5922648968638,90.7
43000,-695310.8235268616,144546.24553600757,-550764.577990854,308.9992777220817,540.0388022386653,90.8
43500,-694380.0418078098,144610.4380635103,-549769.6037442996,309.13650331766837,539.7082411902354,90.8
44000,-694432.7174151116,144961.5441194098,-549471.1732957019,309.8870694584525,540.0530221836353,90.9
44500,-694765.2283676965,144144.13211418645,-550621.0962535101,308.13967215817144,539.9175757032464,91
45000,-695898.3311001323,144567.39212728082,-551330.9389728515,309.0444831952884,539.8703329286096,90.5
45500,-695317.1121063451,144678.11955953873,-550638.9925468063,309.28118734810016,540.6373202420765,90.6
46000,-694420.7438606024,145529.18792722857,-548891.5559333737,311.10053249908,540.0494781759205,90.6
46500,-693874.0178069449,145440.4913141422,-548433.5264928027,310.91092405038967,540.8515239742575,90.7
47000,-694850.9453550186,145510.72060582333,-549340.2247491953,311.0610545523888,541.6015517717963,90.8
47500,-693612.0429414962,145537.06957241916,-548074.9733690771,311.11738124296903,541.8580848977635,90.8
48000,-694596.243250425,145401.00927519423,-549195.2339752307,310.8265225394914,541.0228904511546,90.9
48500,-695548.8107841103,145397.64052382452,-550151.1702602858,310.81932109516333,539.9735149243495,90.9
49000,-695757.0041845064,145030.61752902897,-550726.3866554773,310.03472900922793,540.2491848556708,91
49500,-694891.7621974582,144363.93132827425,-550527.8308691839,308.6095411481626,541.3567842330019,91
50000,-695366.5469338805,145819.2686944113,-549547.2782394693,311.72064371129545,540.7132351531598,90.8
